YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202006,147194,885072,1,.87,"SE","MARYDEL",39.11,-75.74,396600,7544400
202006,147194,885073,1,0,"N","MIDDLETOWN",39.45,-75.73,3927000,7543800
202006,147194,885074,1,1.75,"WSW","BLACKISTON",39.26,-75.73,3915600,7543800
202006,147194,885076,1,1.06,"W","CENTERVILLE",39.82,-75.64,3949200,7538400
202006,147194,885077,1,.69,"S","CENTERVILLE",39.81,-75.62,3948600,7537200
202006,147194,885078,1,.53,"E","MIDDLETOWN",39.45,-75.72,3927000,7543200
202006,147195,884885,1,1.28,"WNW","CHURCH HILL",39.14,-76,398400,7600
202006,147195,884887,1,2.11,"NW","BLYTHEDALE",39.6,-76.08,3936000,764800
202006,147195,884891,1,1.07,"E","BIGWOODS",39.28,-76.01,3916800,76600
202006,147195,884893,1,1.48,"SSW","CALVERT",39.68,-75.99,3940800,7559400
202006,147195,884896,1,0,"N","GREENSBORO",38.97,-75.8,3858200,7548000
202006,147217,885104,1,2.79,"SW","GARRISON MUNI ARPT",47.6,-101.42,4736000,10125200
202006,147217,886039,1,.69,"N","BOTTINEAU ARPT",48.84,-100.42,4850400,10025200
202006,147218,885111,1,7.96,"WSW","LINTON MUNI ARPT",46.17,-100.38,4610200,10022800
202006,147218,885112,1,14.95,"ENE","STRASBURG",46.25,-99.91,4615000,9954600
202006,147218,885113,1,3.49,"N","DANZIG",46.18,-99.48,4610800,9928800
202006,147218,885114,1,6.7,"ENE","DANZIG",46.18,-99.35,4610800,9921000
202006,147218,885115,1,5.28,"W","ELLENDALE",46,-98.63,4600,9837800
202006,147218,885165,1,13.95,"NE","ASHLEY",46.1712,-99.1618,4610272,999708
202006,147228,885248,1,4.95,"NNW","VERMILLION",39.79,-96.29,3947400,9617400
202006,147228,899328,1,0,"N","FRANKFORT",39.7,-96.42,3942000,9625200
202006,147228,899329,1,.53,"E","AXTELL",39.87,-96.26,3952200,9615600
202006,147228,899330,1,1.06,"E","AXTELL",39.87,-96.25,3952200,9615000
202006,147228,901259,1,1.38,"N","BELLEVILLE",39.84,-97.63,3950400,9737800
202006,147241,892123,1,.61,"W","GIBSONTON",27.85,-82.38,2751000,8222800
202006,147241,892123,2,.48,"W","GIBSONTON",27.8497,-82.3778,2750982,8222668
202006,147241,892123,3,.58,"W","GIBSONTON",27.8498,-82.3795,2750988,8222770
202006,147241,892123,4,.61,"W","GIBSONTON",27.8498,-82.3799,2750988,8222794
202006,147241,892124,1,3.05,"W","LITHIA",27.85,-82.22,2751000,8213200
202006,147241,892125,1,1.96,"WSW","OAK KNOLL",27.49,-82.31,2729400,8218600
202006,147241,892125,2,1.65,"WSW","OAK KNOLL",27.4917,-82.3052,2729502,8218312
202006,147241,892125,3,1.79,"W","OAK KNOLL",27.4951,-82.3086,2729706,8218516
202006,147241,892125,4,1.95,"ENE","LAKE MANATEE STATE PARK",27.4928,-82.3117,2729568,8218702
202006,147241,892126,1,0,"N","THONOTOSASSA",28.06,-82.3,283600,8218000
202006,147241,892126,2,.13,"E","THONOTOSASSA",28.0601,-82.2979,283606,8217874
202006,147241,892126,3,.16,"SE","THONOTOSASSA",28.0587,-82.2978,283522,8217868
202006,147241,892126,4,.09,"S","THONOTOSASSA",28.0587,-82.2999,283522,8217994
202006,147241,892127,1,2.79,"WSW","LAKE PANASOFFKEE",28.77,-82.17,2846200,8210200
